카테고리,장소명,영문명,주소,일차,비고
숙소,레지던스 온 랭리 파크,Residence on Langley Park,"99 Adelaide Terrace, East Perth WA, Australia",1일차,퀸베드 2개
숙소,세르반테스 피나클스 모텔,Cervantes Pinnacles Motel,"7 Aragon Street, Cervantes WA, Australia",2일차,퀸베드 1개 + 싱글베드 2개
숙소,디스커버리 파크스 스완 밸리,Discovery Parks - Swan Valley,"91 Benara Road, Caversham WA, Australia",3일차,퀸베드 1개 + 벙커베드 1개 + 더블베드 1개
숙소,디 애드네이트 퍼스 아트 시리즈,The Adnate Perth - Art Series,"1/2 King Street, Perth WA, Australia",4일차,더블베드 2개
숙소,노보텔 퍼스 머레이 스트리트,Novotel Perth Murray Street,"388 Murray Street, Perth WA, Australia",5일차,더블베드 2개
숙소,포 포인트 바이 쉐라톤 퍼스,Four Points by Sheraton Perth,"707 Wellington Street, Perth WA, Australia",6-7일차,더블베드 2개
관광지,퍼스 공항,Perth Airport,"Perth Airport WA, Australia",1일차/8일차,도착/출발
관광지,엘리자베스 키,Elizabeth Quay,"Elizabeth Quay, Perth WA, Australia",1일차,스완강 워터프론트
관광지,스완 벨 타워,The Bell Tower,"Barrack Square, Perth WA, Australia",1일차,벨타워
관광지,퍼스 민트,The Perth Mint,"Hay Street, East Perth WA, Australia",1일차/4일차,금 주조 시연
관광지,헤이 스트리트 몰,Hay Street Mall,"Hay Street Mall, Perth WA, Australia",1일차/7일차,쇼핑몰
관광지,런던 코트,London Court,"London Court, Perth WA, Australia",1일차,쇼핑 아케이드
관광지,란셀린 사구,Lancelin Sand Dunes,"Lancelin WA, Australia",2일차,샌드보딩/쿼드바이크
관광지,피나클스 사막,The Pinnacles Desert,"Nambung National Park, Nambung WA, Australia",2일차,석회암 기둥 사막
관광지,캐버시엄 야생동물 공원,Caversham Wildlife Park,"Whiteman Drive East, Whiteman Park WA, Australia",3일차,코알라/캥거루
관광지,킹스 파크,Kings Park and Botanic Garden,"Fraser Avenue, Perth WA, Australia",4일차/7일차,도시 전망/식물원
관광지,프리맨틀 감옥,Fremantle Prison,"The Terrace, Fremantle WA, Australia",5일차,유네스코 세계문화유산
관광지,프리맨틀 마켓,Fremantle Markets,"South Terrace, Fremantle WA, Australia",5일차,수공예품 시장
관광지,로트네스트 섬,Rottnest Island,"Rottnest Island, Western Australia, Australia",6일차,쿼카 서식지
관광지,퍼스 페리 터미널,Perth Ferry Terminal,"Barrack Square, Perth WA, Australia",6일차,로트네스트 섬 페리
맛집,Wildflower Restaurant,Wildflower Restaurant,"Perth WA, Australia",1일차/7일차,고급 호주 요리
맛집,Woolworths,Woolworths,"Perth WA, Australia",1일차,대형 슈퍼마켓
맛집,Cervantes Lobster Shack,Cervantes Lobster Shack,"Cervantes WA, Australia",2일차,신선한 랍스터
맛집,Sea Breeze Cafe,Sea Breeze Cafe,"Cervantes WA, Australia",2일차,현지 카페
맛집,Sandalford Wines,Sandalford Wines,"Caversham Avenue, Caversham WA, Australia",3일차,와이너리 레스토랑
맛집,Swan Valley Chocolate Company,Swan Valley Chocolate Company,"Swan Valley WA, Australia",3일차,수제 초콜릿
맛집,The Swan Valley Hotel,The Swan Valley Hotel,"Swan Valley WA, Australia",3일차,현지 요리
맛집,Long Chim Perth,Long Chim Perth,"Perth WA, Australia",4일차/7일차,정통 태국 요리
맛집,Petition Kitchen,Petition Kitchen,"Perth WA, Australia",4일차,모던 호주 요리
맛집,Fisherman's Wharf,Fisherman's Wharf,"Fremantle WA, Australia",5일차,피쉬 앤 칩스
맛집,Little Creatures Brewery,Little Creatures Brewery,"Fremantle WA, Australia",5일차,로컬 브루어리
맛집,Moore & Moore Cafe,Moore & Moore Cafe,"Fremantle WA, Australia",5일차,빈티지 카페
맛집,Thomsons Restaurant,Thomsons Restaurant,"Rottnest Island WA, Australia",6일차,섬 내 메인 레스토랑
맛집,Geordie Bay Cafe,Geordie Bay Cafe,"Rottnest Island WA, Australia",6일차,해변가 카페
맛집,Hotel Rottnest,Hotel Rottnest,"Rottnest Island WA, Australia",6일차,섬 내 숙박 시설 레스토랑
맛집,Print Hall,Print Hall,"Perth WA, Australia",7일차,현대적 펍 & 레스토랑
맛집,The Classroom,The Classroom,"Perth WA, Australia",7일차,이탈리아 파스타 전문점
맛집,Fraser's Restaurant,Fraser's Restaurant,"Kings Park, Perth WA, Australia",7일차,킹스 파크 내 레스토랑
기타,No Bird Car Rental Perth City,No Bird Car Rental Perth City,"160 Adelaide Terrace, Perth WA, Australia",2-4일차,렌터카 업체 